booked_y_n,LeadId,Surname,months_since_lead_gen,lead_gen_channel,Gender,Age,City,airline_loyalty_tier,no_of_family_members,is_6M_enquiry,is_3M_active
1,15634602,Hargrave,4,Networks,Female,42,Bangalore,None,1,1,1
0,15647311,Hill,4,Organic,Female,41,Hyderabad,None,1,1,0
1,15619304,Onio,3,Networks,Female,42,Mumbai,Platinum,3,0,1
0,15701354,Boni,4,Networks,Female,39,Hyderabad,None,2,0,0
0,15737888,Mitchell,6,Organic,Female,43,Bangalore,Base,1,1,1
1,15574012,Chu,4,Organic,Male,44,Mumbai,Base,2,0,1
0,15592531,Bartlett,6,Networks,Male,50,Surat,None,2,1,1
1,15656148,Obinna,1,Direct,Female,29,Delhi,Base,4,0,1
0,15792365,He,3,Networks,Male,44,Delhi,Silver,2,1,0
0,15592389,H?,4,Networks,Male,27,Bangalore,Silver,1,1,1
0,15767821,Bearce,3,Networks,Male,31,New Delhi,None,2,0,0
0,15737173,Andrews,2,Organic,Male,24,Chandigarh,None,2,0,1
0,15632264,Kay,2,Networks,Female,34,Cochin,None,2,0,1
0,15691483,Chin,3,Networks,Female,25,Chennai,None,2,0,0
0,15600882,Scott,4,Organic,Female,35,Surat,None,2,1,1
0,15643966,Goforth,4,Direct,Male,45,Chandigarh,Silver,2,1,0
1,15737452,Romeo,4,Direct,Male,58,Hyderabad,Silver,1,0,1
0,15788218,Henderson,3,Organic,Female,24,Ahmedabad,None,2,1,1
0,15661507,Muldrow,3,Organic,Male,45,New Delhi,None,1,0,0
0,15568982,Hao,5,Networks,Female,24,New Delhi,None,2,1,1
0,15577657,McDonald,5,Networks,Male,41,Mumbai,None,2,1,1
0,15597945,Dellucci,4,Organic,Female,32,Mumbai,None,2,0,1
1,15699309,Gerasimov,3,Organic,Female,38,Delhi,None,1,0,1
0,15725737,Mosman,4,Networks,Male,46,Chandigarh,None,2,1,0
0,15625047,Yen,6,Networks,Female,38,Chennai,None,1,1,1
0,15738191,Maclean,3,Networks,Male,25,Chandigarh,None,2,1,0
0,15736816,Young,5,Direct,Male,36,Bangalore,Silver,1,1,1
0,15700772,Nebechi,3,Networks,Male,44,Ahmedabad,None,2,0,0
0,15728693,McWilliams,3,Direct,Female,43,Chandigarh,Silver,1,1,1
0,15656300,Lucciano,2,Networks,Male,29,Kolkata,None,2,1,1
1,15589475,Azikiwe,3,Organic,Female,39,Chandigarh,None,3,0,1
0,15706552,Odinakachukwu,3,Networks,Male,36,Surat,None,1,1,0
0,15750181,Sanderson,3,Direct,Male,41,Ahmedabad,Base,2,0,0
0,15659428,Maggard,3,Organic,Female,42,New Delhi,None,2,1,1
0,15732963,Clements,5,Organic,Female,29,Ahmedabad,None,2,1,1
1,15794171,Lombardo,2,Networks,Female,45,Kolkata,Silver,1,0,1
0,15788448,Watson,2,Organic,Male,31,Chandigarh,Silver,1,1,0
0,15729599,Lorenzo,6,Organic,Male,33,Surat,None,1,1,0
0,15717426,Armstrong,6,Networks,Male,36,Surat,None,1,1,1
0,15585768,Cameron,3,Direct,Male,41,New Delhi,None,2,1,0
0,15619360,Hsiao,2,Organic,Male,40,Delhi,None,1,0,1
1,15738148,Clarke,2,Networks,Female,51,Mumbai,Base,1,0,0
0,15687946,Osborne,3,Networks,Female,61,Bangalore,Base,1,1,1
1,15755196,Lavine,6,Networks,Female,49,Bangalore,Silver,1,0,0
0,15684171,Bianchi,4,Organic,Female,61,Chennai,Gold,1,1,1
0,15754849,Tyler,5,Direct,Female,32,Delhi,Base,2,1,1
1,15602280,Martin,6,Direct,Female,27,Ahmedabad,Base,1,1,1
1,15771573,Okagbue,4,Direct,Female,39,Ahmedabad,Silver,1,1,1
0,15766205,Yin,3,Direct,Male,38,Bangalore,None,1,1,0
0,15771873,Buccho,5,Direct,Female,37,Bangalore,None,2,0,1
0,15616550,Chidiebele,4,Direct,Male,44,Cochin,Base,2,0,1
0,15768193,Trevisani,3,Direct,Male,36,Chennai,Silver,2,0,0
0,15683553,O'Brien,5,Networks,Female,33,Chennai,None,2,0,0
1,15702298,Parkhill,4,Direct,Male,41,Mumbai,Base,1,0,0
1,15569590,Yoo,4,Direct,Male,42,Hyderabad,None,1,0,1
0,15760861,Phillipps,4,Networks,Male,43,Hyderabad,Base,1,1,1
0,15630053,Tsao,4,Networks,Male,45,Chennai,Silver,1,0,1
0,15647091,Endrizzi,5,Direct,Male,19,Kolkata,None,1,0,0
1,15623944,T'ien,3,Organic,Female,66,Delhi,None,1,0,1
0,15804771,Velazquez,4,Networks,Male,51,Delhi,None,1,1,1
0,15651280,Hunter,5,Direct,Male,35,Chennai,Silver,1,0,0
0,15773469,Clark,4,Direct,Female,27,Ahmedabad,Gold,2,0,0
0,15702014,Jeffrey,3,Organic,Male,33,Hyderabad,None,2,0,0
0,15751208,Pirozzi,4,Organic,Male,56,Mumbai,None,1,1,1
0,15592461,Jackson,4,Direct,Male,26,Delhi,Base,1,1,1
0,15789484,Hammond,5,Direct,Female,36,New Delhi,Platinum,2,1,1
0,15696061,Brownless,3,Direct,Female,34,Hyderabad,None,1,0,1
0,15641582,Chibugo,5,Direct,Male,43,Cochin,Base,2,1,1
0,15638424,Glauert,4,Direct,Female,35,Chennai,Gold,2,1,0
0,15755648,Pisano,4,Networks,Female,21,Mumbai,None,1,0,1
1,15703793,Konovalova,5,Direct,Male,58,Bangalore,Silver,4,0,1
0,15620344,McKee,6,Networks,Male,29,New Delhi,None,1,0,1
0,15812518,Palermo,4,Organic,Female,37,Kolkata,Platinum,1,1,0
0,15779052,Ballard,4,Direct,Female,25,Chennai,Gold,2,1,1
0,15770811,Wallace,3,Networks,Male,36,Ahmedabad,None,2,1,0
0,15780961,Cavenagh,5,Networks,Female,21,Hyderabad,Platinum,2,0,1
0,15614049,Hu,4,Networks,Male,55,Mumbai,None,2,1,1
0,15662085,Read,4,Networks,Female,32,Ahmedabad,None,1,1,1
0,15575185,Bushell,5,Organic,Male,33,Chennai,None,1,1,0
0,15803136,Postle,2,Direct,Female,41,Cochin,Base,2,0,1
0,15706021,Buley,4,Networks,Female,34,Hyderabad,None,2,0,0
1,15663706,Leonard,5,Networks,Female,32,Bangalore,None,1,0,1
0,15641732,Mills,3,Networks,Female,36,Chandigarh,None,2,0,0
0,15701164,Onyeorulu,3,Networks,Female,34,Delhi,None,1,1,1
0,15738751,Beit,2,Networks,Female,46,Delhi,None,2,0,1
0,15805254,Ndukaku,4,Organic,Female,75,Cochin,None,2,1,1
1,15762418,Gant,5,Organic,Male,22,Chandigarh,Base,1,0,1
0,15625759,Rowley,5,Networks,Male,30,Ahmedabad,None,2,0,1
1,15622897,Sharpe,4,Networks,Female,46,Delhi,None,3,0,1
0,15767954,Osborne,4,Direct,Female,28,Chandigarh,None,2,1,1
1,15757535,Heap,4,Organic,Female,44,Chennai,None,3,1,1
0,15731511,Ritchie,6,Networks,Male,45,Surat,Base,2,0,1
0,15809248,Cole,3,Networks,Female,36,Cochin,None,2,0,1
0,15640635,Capon,5,Networks,Male,29,Mumbai,None,2,1,1
0,15676966,Capon,5,Organic,Male,42,Delhi,None,2,1,0
0,15699461,Fiorentini,3,Organic,Male,35,Cochin,Platinum,1,1,0
0,15738721,Graham,5,Organic,Male,41,Ahmedabad,None,1,1,0
0,15693683,Yuille,6,Direct,Male,29,Mumbai,None,2,1,1
0,15604348,Allard,5,Organic,Male,22,Mumbai,None,2,0,0
0,15633059,Fanucci,2,Networks,Male,34,Ahmedabad,None,2,0,0
0,15808582,Fu,4,Networks,Female,40,New Delhi,None,1,1,1
0,15743192,Hung,4,Networks,Female,44,New Delhi,None,2,0,0
0,15580146,Hung,5,Networks,Male,31,Ahmedabad,None,1,0,1
0,15776605,Bradley,3,Organic,Male,36,Surat,None,2,0,1
1,15804919,Dunbabin,4,Organic,Female,65,Hyderabad,None,1,1,1
1,15613854,Mauldon,4,Organic,Female,46,Delhi,Base,2,1,1
0,15599195,Stiger,3,Direct,Male,32,Hyderabad,None,1,1,1
0,15812878,Parsons,5,Direct,Female,36,Bangalore,None,1,1,0
0,15602312,Walkom,4,Organic,Male,33,Chennai,Gold,1,0,0
1,15744689,T'ang,2,Direct,Male,35,Ahmedabad,None,1,0,1
0,15803526,Eremenko,4,Direct,Male,30,Chandigarh,None,1,1,0
0,15665790,Rowntree,3,Direct,Male,39,Surat,Base,2,0,1
0,15715951,Thorpe,3,Networks,Male,42,Bangalore,None,1,0,0
0,15591100,Chiemela,4,Organic,Male,36,Ahmedabad,None,1,1,0
1,15609618,Fanucci,5,Direct,Male,28,Ahmedabad,Gold,2,1,0
0,15675522,Ko,4,Direct,Female,30,Ahmedabad,Silver,2,1,1
0,15705512,Welch,4,Direct,Female,37,New Delhi,Platinum,1,0,1
0,15698028,Duncan,3,Networks,Female,41,Hyderabad,None,2,0,1
1,15661670,Chidozie,3,Direct,Female,31,Mumbai,Base,1,0,1
0,15600781,Wu,4,Direct,Male,34,Delhi,Platinum,2,0,1
0,15682472,Culbreth,6,Networks,Male,34,Mumbai,Silver,2,0,0
0,15580203,Kennedy,4,Organic,Male,39,New Delhi,Base,1,0,0
0,15690673,Cameron,4,Networks,Female,39,New Delhi,None,2,0,1
0,15760085,Calabresi,4,Direct,Female,48,Cochin,Silver,1,1,1
0,15779659,Zetticci,4,Networks,Female,28,Chandigarh,None,1,0,0
1,15627360,Fuller,2,Networks,Male,42,Ahmedabad,Gold,1,0,1
1,15671137,MacDonald,3,Networks,Female,52,Hyderabad,None,1,1,0
1,15782688,Piccio,4,Direct,Male,56,Kolkata,Gold,1,0,1
0,15575492,Kennedy,6,Networks,Female,41,Surat,None,2,0,1
0,15591607,Fernie,5,Networks,Male,24,Ahmedabad,None,1,0,1
0,15740404,He,5,Networks,Female,34,Chandigarh,None,2,1,1
0,15718369,Kaodilinakachukwu,5,Direct,Female,33,Ahmedabad,Silver,1,1,1
0,15677871,Cocci,4,Networks,Male,38,Ahmedabad,Base,1,1,1
